G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
31,24,326,24.89253936,CHI,1,1,22,1,38,17,23,0,0,11,14,1,2,3,8,4,0,1,3,45,43.2
32,24,329,24.90075291,CHI,1,0,-7,1,43,19,35,0,1,4,5,2,2,4,6,3,1,0,0,42,34.6
33,24,331,24.90622861,CHI,0,0,-3,1,45,12,24,0,1,4,6,3,1,4,7,1,2,4,3,28,19.7
34,24,333,24.91170431,CHI,1,1,16,1,38,12,26,0,0,12,13,4,6,10,10,4,4,3,3,36,36.4
35,24,335,24.91718001,CHI,1,1,14,1,39,13,19,0,0,7,10,0,3,3,7,5,0,2,4,33,30.9
36,24,336,24.91991786,CHI,0,0,-12,1,41,14,22,0,0,10,10,0,3,3,4,3,1,2,0,38,33.6
37,24,339,24.92813142,CHI,1,1,10,1,38,17,25,0,0,8,8,0,4,4,13,4,4,2,2,42,45.6
38,24,340,24.93086927,CHI,1,1,27,1,38,13,19,0,0,10,13,3,4,7,8,3,1,2,5,36,35.3
39,24,343,24.93908282,CHI,0,0,-4,1,40,13,26,1,1,7,10,2,5,7,5,2,1,6,5,34,20.9
40,24,344,24.94182067,CHI,0,1,10,1,46,12,21,1,1,12,12,2,2,4,7,2,1,2,5,37,32.7
41,24,346,24.94729637,CHI,1,1,27,1,27,14,18,0,0,4,5,0,1,1,4,10,2,3,1,32,35.7
42,24,347,24.95003422,CHI,1,1,2,1,44,10,17,0,1,8,8,1,4,5,4,2,4,5,3,28,23.4
43,24,349,24.95550992,CHI,0,0,-2,1,40,13,31,0,0,11,15,0,5,5,3,5,2,4,4,37,23.3
44,24,350,24.95824778,CHI,0,0,-9,1,40,14,26,0,0,11,11,1,1,2,4,3,1,3,3,39,29.7
45,24,352,24.96372348,CHI,0,1,12,1,37,14,27,0,1,9,11,1,4,5,8,0,1,0,1,37,30.7
46,24,357,24.97741273,CHI,1,0,-15,1,42,7,22,0,0,6,8,1,6,7,9,4,0,2,4,20,15.8
47,24,358,24.98015058,CHI,0,0,-9,1,37,10,23,0,2,14,15,2,2,4,4,1,3,3,3,34,25.2
48,24,360,24.98562628,CHI,0,1,2,1,43,9,19,0,1,9,10,0,6,6,8,0,0,3,3,27,20.1
49,24,361,24.98836413,CHI,0,0,-9,1,40,9,22,0,1,9,10,0,2,2,2,3,2,4,0,27,17.2
50,24,363,24.99383984,CHI,1,1,19,1,38,13,22,0,0,6,8,3,10,13,8,5,2,2,2,32,35.3
51,25,2,25.0054757,CHI,1,1,21,1,38,19,27,0,0,11,14,2,1,3,3,3,3,5,2,49,39.6
52,25,4,25.0109514,CHI,0,0,-2,1,45,16,31,0,2,14,15,1,3,4,9,3,1,3,3,46,37.7
53,25,6,25.0164271,CHI,1,1,7,1,48,11,29,0,0,17,20,2,7,9,5,4,2,0,4,39,32.7
54,25,9,25.02464066,CHI,1,0,-8,1,43,21,34,0,2,10,12,2,6,8,3,2,3,6,5,52,37.2
55,25,10,25.02737851,CHI,1,0,-3,1,44,16,27,0,0,6,8,1,1,2,3,3,3,3,5,38,27.9
56,25,12,25.03285421,CHI,0,0,-1,1,46,13,22,0,0,9,13,1,4,5,4,2,0,3,1,35,26.5
57,25,15,25.04106776,CHI,1,1,4,1,41,15,29,0,0,6,9,0,10,10,7,3,2,5,4,36,26.2
58,25,17,25.04654346,CHI,1,1,24,1,27,9,13,0,0,3,4,0,6,6,4,4,2,2,2,21,22.3
59,25,19,25.05201916,CHI,0,0,-12,1,44,12,24,0,2,14,16,1,9,10,3,1,0,4,4,38,26.1
60,25,22,25.06023272,CHI,1,1,21,1,42,17,34,0,1,4,4,5,4,9,7,3,1,2,2,38,31.5
61,25,24,25.06570842,CHI,1,1,20,1,34,9,22,0,0,10,12,3,4,7,6,0,0,2,2,28,20.1
62,25,27,25.07392197,CHI,1,1,19,1,37,17,29,0,0,4,7,4,2,6,1,2,1,2,2,38,27.3
63,25,28,25.07665982,CHI,0,0,-3,1,39,10,23,0,0,5,5,3,1,4,5,0,2,3,2,25,16.4
64,25,30,25.08213552,CHI,1,1,10,1,42,19,32,1,2,11,11,2,3,5,9,5,1,1,4,50,46.9
65,25,32,25.08761123,CHI,0,0,-30,1,39,10,18,0,0,6,8,0,4,4,7,1,1,5,4,26,17.8
66,25,35,25.09582478,CHI,0,1,16,1,42,20,35,0,1,9,12,5,8,13,2,0,2,0,4,49,38.4
67,25,37,25.10130048,CHI,0,1,1,1,48,14,29,0,0,11,13,2,6,8,7,2,4,3,3,39,32.2
68,25,38,25.10403833,CHI,1,1,9,1,42,16,27,0,2,6,9,0,3,3,2,3,4,6,2,38,25.6
69,25,41,25.11225188,CHI,0,0,-3,1,42,8,17,0,0,10,12,1,3,4,4,2,2,6,3,26,17.1
70,25,42,25.11498973,CHI,0,1,17,1,34,15,25,0,0,6,6,2,4,6,4,6,0,2,3,36,32.7
71,25,44,25.12046543,CHI,0,1,15,1,42,13,30,1,2,11,13,4,7,11,7,3,0,3,5,38,29.2
72,25,46,25.12594114,CHI,0,1,2,1,42,21,27,0,1,17,19,2,2,4,6,2,2,1,4,59,54.7
73,25,48,25.13141684,CHI,1,0,-11,1,42,12,20,0,1,5,8,1,2,3,1,4,2,6,4,29,18.4
74,25,49,25.13415469,CHI,0,1,9,1,44,12,22,0,0,13,13,1,5,6,6,3,1,5,5,37,29.5
75,25,51,25.13963039,CHI,1,1,9,1,43,13,24,0,0,14,18,3,3,6,3,8,1,3,4,40,36
76,25,57,25.15605749,CHI,0,1,6,1,38,12,28,0,2,11,12,2,4,6,3,3,1,2,3,35,25
77,25,58,25.15879535,CHI,0,1,1,1,39,11,20,0,0,6,8,0,0,0,4,2,0,3,5,28,17.4
78,25,60,25.16427105,CHI,1,1,8,1,38,17,29,0,1,10,14,1,2,3,6,4,3,2,4,44,36.9
79,25,62,25.16974675,CHI,0,1,3,1,40,18,27,0,2,11,13,3,2,5,2,2,1,6,4,47,33.7
80,25,64,25.17522245,CHI,0,0,-7,1,41,17,33,0,2,5,6,3,0,3,8,2,1,4,5,39,26.7
81,25,65,25.1779603,CHI,1,0,-4,1,42,12,26,0,0,2,2,1,0,1,7,4,1,2,5,26,18.9
82,25,67,25.183436,CHI,1,1,7,1,44,16,25,0,1,14,15,0,6,6,6,1,1,3,3,46,38
1,25,261,25.71457906,CHI,1,0,-13,1,43,10,19,0,2,8,12,1,4,5,7,5,2,2,5,28,26.3
2,25,262,25.71731691,CHI,0,1,13,1,39,9,21,0,0,11,12,0,2,2,7,3,0,5,4,29,19.4
3,25,265,25.72553046,CHI,0,0,-9,1,39,13,21,2,3,3,3,2,1,3,9,2,0,4,5,31,25.5
4,25,266,25.72826831,CHI,0,1,6,1,42,18,33,2,4,14,16,0,3,3,2,9,2,2,4,52,44.4
5,25,268,25.73374401,CHI,1,1,12,1,41,14,24,0,1,8,11,1,5,6,3,3,4,6,2,36,26.9
6,25,269,25.73648186,CHI,0,0,-6,1,43,17,31,0,3,8,12,2,5,7,6,3,1,1,2,42,34.5
7,25,272,25.74469541,CHI,1,1,13,1,43,14,27,0,0,5,6,1,5,6,6,5,1,3,2,33,27.6
8,25,273,25.74743326,CHI,0,0,-13,1,43,24,29,0,1,4,4,3,6,9,1,4,2,4,2,52,46.5
9,25,275,25.75290897,CHI,1,1,3,1,49,12,21,0,0,10,13,1,8,9,9,1,0,6,4,34,25.7
10,25,279,25.76386037,CHI,0,1,16,1,38,16,20,0,0,0,0,1,10,11,8,1,1,2,3,32,32.2
11,25,280,25.76659822,CHI,0,0,-8,1,41,7,15,1,2,11,12,2,10,12,7,5,4,6,4,26,27.4
12,25,283,25.77481177,CHI,0,0,-5,1,44,19,27,3,5,11,14,2,9,11,7,1,0,6,3,52,42.3
13,25,286,25.78302533,CHI,0,0,-10,1,43,11,24,0,1,4,4,2,8,10,7,4,0,3,3,26,22.1
14,25,287,25.78576318,CHI,0,0,-14,1,39,11,25,0,1,11,13,4,4,8,5,2,1,3,1,33,25.9
15,25,290,25.79397673,CHI,0,1,13,1,43,16,31,0,0,7,8,3,8,11,6,2,3,2,5,39,32.1
16,25,293,25.80219028,CHI,1,1,5,1,43,14,20,0,0,10,11,2,7,9,5,5,0,6,4,38,33.6
17,25,294,25.80492813,CHI,0,0,-13,1,40,4,16,0,0,10,11,3,4,7,7,1,2,3,1,18,15.2
18,25,296,25.81040383,CHI,1,1,18,1,40,10,17,0,2,15,17,3,8,11,5,1,1,5,3,35,29.8
19,25,297,25.81314168,CHI,1,1,23,1,37,14,25,1,2,9,10,2,9,11,4,2,0,1,3,38,32.4
20,25,300,25.82135524,CHI,1,0,-18,1,41,11,24,0,1,6,6,2,12,14,6,2,0,1,3,28,24.6
21,25,303,25.82956879,CHI,1,1,7,1,38,10,22,0,3,8,9,3,4,7,7,6,0,2,4,28,26.8
22,25,304,25.83230664,CHI,0,1,19,1,40,12,25,0,1,12,12,0,6,6,5,3,0,3,2,36,27.8
23,25,307,25.84052019,CHI,1,1,13,1,39,11,23,2,3,18,22,4,3,7,8,4,0,1,0,42,41
24,25,310,25.84873374,CHI,0,0,-2,1,41,14,26,0,0,5,6,2,3,5,4,6,0,7,5,33,22.1
25,25,314,25.85968515,CHI,1,0,-11,1,42,18,30,1,1,6,6,3,9,12,4,3,0,4,3,43,34.6
26,25,316,25.86516085,CHI,1,1,2,1,40,14,27,0,2,9,12,1,8,9,3,3,0,3,2,37,26.9
27,25,317,25.8678987,CHI,0,1,16,1,37,13,26,0,0,5,5,2,5,7,4,4,2,2,1,31,26.7
28,25,321,25.8788501,CHI,1,1,5,1,47,15,30,0,3,11,15,1,9,10,11,6,0,4,5,41,35.5
29,25,323,25.8843258,CHI,0,0,-5,1,41,13,24,1,2,5,5,2,9,11,7,2,0,2,2,32,28.6
30,25,324,25.88706366,CHI,1,0,-14,1,37,12,21,0,0,3,5,1,4,5,4,2,1,2,2,27,20.9
31,25,328,25.89801506,CHI,0,1,3,1,41,17,29,0,2,14,16,4,6,10,9,3,0,4,2,48,42.8
32,25,329,25.90075291,CHI,0,1,5,1,40,7,15,0,0,10,11,1,3,4,10,3,1,6,4,24,20.6
33,25,331,25.90622861,CHI,1,1,5,1,46,13,24,0,1,12,13,1,11,12,11,3,0,6,4,38,33.1
34,25,333,25.91170431,CHI,1,1,6,1,41,13,23,0,3,16,17,1,8,9,11,8,0,2,2,42,46.7
35,25,335,25.91718001,CHI,1,1,7,1,44,10,18,0,1,2,4,1,5,6,13,4,1,2,4,22,25
36,25,337,25.92265572,CHI,0,1,4,1,41,14,25,0,1,6,8,3,2,5,7,2,1,1,3,34,29.4
37,25,339,25.92813142,CHI,1,0,-9,1,41,20,28,0,0,13,15,1,13,14,8,2,1,4,4,53,47.9
38,25,342,25.93634497,CHI,1,1,18,1,33,10,20,0,1,4,5,1,2,3,6,3,0,1,1,24,20.7
39,25,343,25.93908282,CHI,0,0,-12,1,45,14,25,0,0,5,5,0,6,6,12,2,1,2,5,33,30
40,25,345,25.94455852,CHI,1,1,11,1,39,14,25,0,0,5,8,3,8,11,9,3,1,1,4,33,31.8
41,25,349,25.95550992,CHI,1,0,-6,1,41,7,24,0,1,7,10,3,9,12,10,2,1,5,6,21,12.9
42,25,351,25.96098563,CHI,1,1,11,1,40,15,21,0,0,10,12,1,6,7,8,4,0,6,2,40,35.8
43,25,352,25.96372348,CHI,0,0,-7,1,45,10,24,0,1,9,12,2,4,6,10,5,1,3,3,29,26.1
44,25,354,25.96919918,CHI,0,0,-11,1,42,10,18,1,4,7,8,2,4,6,10,1,1,1,3,28,28.1
45,25,356,25.97467488,CHI,1,1,25,1,32,11,20,1,2,9,10,2,5,7,5,2,0,3,3,32,26.2
46,25,358,25.98015058,CHI,0,1,5,1,43,9,20,0,0,5,8,3,3,6,9,2,1,6,2,23,16.6
47,25,363,25.99383984,CHI,1,0,-8,1,36,11,14,1,1,9,16,2,3,5,3,3,1,3,4,32,27.3
48,25,365,25.99931554,CHI,1,1,1,1,40,16,26,1,2,17,18,2,6,8,5,3,0,4,4,50,41.9
49,26,2,26.0054757,CHI,0,1,2,1,40,9,19,0,0,5,6,0,3,3,9,2,3,7,4,23,15.6
50,26,3,26.00821355,CHI,1,1,4,1,36,13,22,0,0,7,8,2,4,6,7,1,0,4,3,33,25.7
51,26,5,26.01368925,CHI,0,1,28,1,37,10,14,0,1,4,5,0,4,4,5,1,0,6,4,24,15.9
52,26,7,26.01916496,CHI,1,1,9,1,38,10,18,0,0,13,15,0,4,4,8,4,0,2,2,33,31.6
53,26,8,26.02190281,CHI,0,0,-30,1,30,7,12,0,0,4,5,1,4,5,3,3,0,4,3,18,13.8
54,26,11,26.03011636,CHI,1,1,19,1,34,11,16,0,0,2,2,4,2,6,8,2,1,4,1,24,24.5
55,26,14,26.03832991,CHI,1,1,6,1,41,10,18,1,1,7,11,2,6,8,9,2,1,6,4,28,22.4
56,26,15,26.04106776,CHI,0,0,-18,1,42,10,16,0,0,8,8,1,2,3,10,2,0,4,4,28,25.5
57,26,18,26.04928131,CHI,1,0,-2,1,39,15,27,0,0,4,5,3,8,11,4,3,0,2,2,34,28.2
58,26,22,26.06023272,CHI,1,1,17,1,40,8,13,0,0,2,2,1,7,8,15,1,3,3,3,18,24.3
59,26,24,26.06570842,CHI,1,1,32,1,30,7,15,3,4,4,4,3,11,14,14,3,2,1,0,21,31.9
60,26,26,26.07118412,CHI,0,0,-24,1,38,12,22,0,0,4,5,1,5,6,12,3,0,8,3,28,21.4
61,26,28,26.07665982,CHI,1,1,5,1,41,9,16,2,2,13,14,1,4,5,9,4,1,4,5,33,31.9
62,26,29,26.07939767,CHI,0,0,-11,1,44,11,24,0,1,6,7,0,6,6,10,0,1,2,1,28,22.3
63,26,32,26.08761123,CHI,0,1,1,1,43,7,20,0,0,7,8,1,7,8,16,1,0,5,3,21,18.2
64,26,33,26.09034908,CHI,0,1,1,1,37,10,20,0,0,12,12,0,10,10,9,1,0,3,5,32,27.3
65,26,35,26.09582478,CHI,0,1,15,1,40,10,20,1,3,13,16,3,4,7,17,6,0,7,4,34,35.4
66,26,36,26.09856263,CHI,0,1,1,1,40,8,18,0,0,5,5,1,11,12,12,3,0,6,3,21,19.8
67,26,39,26.10677618,CHI,1,1,9,1,40,13,24,0,1,7,9,1,11,12,11,4,0,5,4,33,29.7
68,26,40,26.10951403,CHI,0,1,4,1,43,9,19,0,1,14,16,1,9,10,10,2,1,4,4,32,29
69,26,42,26.11498973,CHI,1,0,-9,1,43,15,29,1,2,6,7,2,8,10,10,3,1,3,4,37,32.2
70,26,44,26.12046543,CHI,1,1,11,1,39,11,23,0,1,5,5,5,9,14,12,2,2,3,2,27,29.5
71,26,46,26.12594114,CHI,1,1,20,1,40,10,15,0,2,13,15,4,6,10,12,6,1,3,1,33,42
72,26,48,26.13141684,CHI,0,0,-7,1,43,11,23,1,5,8,8,2,11,13,10,2,0,2,2,31,30.2
73,26,49,26.13415469,CHI,1,0,-2,1,42,11,18,0,0,18,21,1,6,7,11,2,0,1,6,40,39.4
74,26,51,26.13963039,CHI,0,0,-8,1,43,13,29,0,3,14,14,4,6,10,12,1,0,2,3,40,35.7
75,26,55,26.15058179,CHI,0,0,-4,1,46,17,30,0,1,13,14,2,9,11,13,4,2,4,3,47,45.8
76,26,56,26.15331964,CHI,0,0,-12,1,38,12,27,0,1,5,7,2,8,10,12,3,2,4,2,29,25.9
77,26,58,26.15879535,CHI,0,0,-19,1,27,8,14,0,1,6,6,0,3,3,3,2,1,5,2,22,15.3
78,26,59,26.1615332,CHI,1,1,4,1,42,11,21,1,3,11,13,1,10,11,9,2,3,5,3,34,30.8
79,26,62,26.16974675,CHI,0,0,-2,1,39,9,20,0,0,12,13,2,3,5,4,1,1,6,4,30,18.4
80,26,63,26.1724846,CHI,1,1,2,1,42,13,31,0,0,8,11,6,8,14,11,2,1,1,1,34,31.9
81,26,65,26.1779603,CHI,1,0,-6,1,35,9,19,0,2,7,8,3,2,5,3,1,0,3,3,25,16.5
1,26,259,26.70910335,CHI,1,1,5,1,47,19,31,1,2,15,17,3,11,14,6,3,1,0,3,54,51.2
2,26,260,26.7118412,CHI,1,0,-2,1,34,10,18,0,3,4,6,0,5,5,6,5,1,4,5,24,20
3,26,263,26.72005476,CHI,1,1,3,1,44,13,24,0,2,14,17,2,3,5,7,3,0,4,1,40,33
4,26,264,26.72279261,CHI,0,1,12,1,40,15,24,1,1,14,14,1,5,6,2,2,0,3,2,45,36
5,26,266,26.72826831,CHI,0,0,-10,1,41,8,22,0,0,10,11,3,3,6,5,2,0,2,4,26,18.3
6,26,267,26.73100616,CHI,1,1,7,1,34,8,15,1,2,8,9,0,4,4,6,3,1,4,4,25,20.8
7,26,270,26.73921971,CHI,0,1,2,1,40,11,25,1,1,4,8,6,7,13,7,2,0,4,2,27,20.7
8,26,271,26.74195756,CHI,0,0,-1,1,38,12,26,0,3,16,19,1,9,10,3,1,0,2,3,40,28.7
9,26,274,26.75017112,CHI,0,0,-9,1,39,12,26,3,8,5,7,3,3,6,7,1,0,2,3,32,23.5
10,26,277,26.75838467,CHI,0,0,-11,1,36,5,13,1,3,5,6,0,0,0,7,2,0,4,1,16,11
11,26,278,26.76112252,CHI,0,1,5,1,44,12,30,1,3,9,10,2,5,7,7,2,0,2,2,34,24.4
12,26,281,26.76933607,CHI,0,1,13,1,41,12,29,1,5,4,5,6,8,14,9,3,0,3,3,29,24.8
13,26,282,26.77207392,CHI,0,0,-24,1,33,9,18,1,2,7,10,3,4,7,4,2,2,7,3,26,17.1
14,26,284,26.77754962,CHI,1,1,15,1,39,8,15,0,0,6,6,0,9,9,13,3,0,4,4,22,23.9
15,26,288,26.78850103,CHI,0,1,7,1,36,11,16,0,0,14,15,2,3,5,7,0,1,5,4,36,30.1
16,26,291,26.79671458,CHI,1,1,20,1,33,15,27,0,1,5,5,8,9,17,7,1,1,1,0,35,36
17,26,294,26.80492813,CHI,0,0,-2,1,46,14,25,1,3,7,9,0,8,8,10,4,1,4,4,36,31.8
18,26,295,26.80766598,CHI,1,1,20,1,36,13,21,3,6,0,0,0,9,9,9,1,0,1,3,29,27.3
19,26,298,26.81587953,CHI,1,1,8,1,41,18,29,2,2,3,4,1,6,7,7,2,1,2,1,41,35.2
20,26,300,26.82135524,CHI,1,1,11,1,25,14,20,3,3,7,9,2,5,7,5,2,0,1,2,38,35.4
21,26,302,26.82683094,CHI,1,1,11,1,41,13,28,0,1,7,10,2,7,9,7,2,2,0,2,33,28.4
22,26,305,26.83504449,CHI,1,1,10,1,44,15,29,2,4,5,5,0,7,7,5,2,1,7,1,37,23.6
23,26,306,26.83778234,CHI,0,0,-1,1,45,20,37,2,3,10,10,1,4,5,7,4,0,3,3,52,40.7
24,26,308,26.84325804,CHI,0,1,12,1,32,10,17,2,3,7,8,0,4,4,4,2,0,4,4,29,21.1
25,26,309,26.84599589,CHI,0,0,-27,1,30,5,13,0,1,6,6,1,3,4,6,2,0,4,2,16,11.9
26,26,312,26.85420945,CHI,1,1,13,1,35,12,17,3,5,1,2,1,1,2,4,4,1,3,4,28,24.4
27,26,315,26.862423,CHI,1,1,4,1,42,10,26,1,2,13,15,1,4,5,7,3,0,4,4,34,23.2
28,26,316,26.86516085,CHI,0,1,5,1,43,13,26,0,2,2,2,1,6,7,10,4,3,3,4,28,26
29,26,320,26.87611225,CHI,0,1,6,1,46,15,32,0,3,8,9,1,7,8,8,4,0,1,4,38,31
30,26,322,26.88158795,CHI,1,1,11,1,41,19,31,2,5,3,3,0,4,4,6,4,0,3,4,43,33.7
31,26,323,26.8843258,CHI,0,0,-7,1,41,13,23,3,7,6,7,1,8,9,5,5,1,6,3,35,28.8
32,26,326,26.89253936,CHI,0,0,-10,1,34,6,17,1,3,3,4,3,5,8,5,2,1,4,2,16,11.1
33,26,327,26.89527721,CHI,0,0,-7,1,42,13,30,1,3,8,8,2,5,7,5,2,1,2,0,35,26.3
34,26,329,26.90075291,CHI,0,1,12,1,40,19,28,0,1,7,9,2,2,4,6,1,0,2,4,45,35.8
35,26,330,26.90349076,CHI,1,1,6,1,34,11,21,2,4,4,6,0,5,5,10,4,0,0,1,28,29
36,26,332,26.90896646,CHI,0,0,-3,1,42,9,24,0,2,8,9,1,3,4,8,3,0,5,3,26,16.4
37,26,335,26.91718001,CHI,1,1,25,1,33,17,30,7,12,3,3,3,9,12,8,1,2,2,3,44,39.4
38,26,336,26.91991786,CHI,0,1,8,1,40,12,24,0,3,12,16,3,6,9,3,7,0,7,1,36,28
39,26,338,26.92539357,CHI,1,1,8,1,41,10,17,4,5,18,20,1,9,10,7,4,2,4,4,42,41.4
40,26,340,26.93086927,CHI,1,0,-12,1,45,11,31,1,6,9,11,2,4,6,2,2,1,4,5,32,14.6
41,26,343,26.93908282,CHI,0,0,-11,1,42,12,27,0,2,7,9,2,3,5,11,2,0,1,3,31,25.9
42,26,344,26.94182067,CHI,1,1,3,1,35,15,25,1,3,8,8,2,5,7,4,4,0,3,3,39,33
43,26,346,26.94729637,CHI,1,1,10,1,30,7,14,0,2,2,3,2,5,7,9,1,1,4,2,16,14.7
44,26,349,26.95550992,CHI,0,0,-27,1,38,16,31,0,2,3,4,2,4,6,5,2,0,3,0,35,24.4
45,26,351,26.96098563,CHI,0,0,-1,1,46,17,32,2,4,8,8,3,0,3,5,2,0,3,3,44,31.8
46,26,355,26.97193703,CHI,0,0,-18,1,40,12,21,0,1,8,12,0,4,4,4,0,1,8,3,32,16
47,26,356,26.97467488,CHI,0,0,-25,1,37,5,18,1,2,4,6,0,1,1,8,1,1,4,2,15,6.4
48,26,361,26.98836413,CHI,0,1,12,1,40,8,16,0,1,10,11,1,3,4,6,3,0,3,4,26,21.8
49,26,362,26.99110198,CHI,0,0,-6,1,47,21,43,0,2,7,10,1,6,7,2,0,1,0,1,49,30.3
50,26,364,26.99657769,CHI,1,1,14,1,31,10,14,1,2,5,6,0,3,3,4,2,0,5,2,26,19.7
51,27,1,27.00273785,CHI,0,1,23,1,36,15,26,0,2,9,10,1,2,3,4,2,1,0,4,39,31.6
52,27,2,27.0054757,CHI,1,1,5,1,42,11,25,0,0,8,9,2,4,6,9,2,0,5,3,30,21.2
53,27,6,27.0164271,CHI,1,1,11,1,35,12,25,2,2,9,10,2,8,10,10,1,0,6,4,35,26.1
54,27,8,27.02190281,CHI,0,1,1,1,44,12,24,0,1,8,9,1,7,8,8,2,2,5,4,32,24.8
55,27,10,27.02737851,CHI,1,1,10,1,41,13,25,0,1,17,19,2,4,6,6,3,0,3,4,43,35.1
56,27,13,27.03559206,CHI,1,1,21,1,31,8,12,2,4,5,6,0,4,4,4,1,2,0,2,23,23
57,27,15,27.04106776,CHI,0,1,4,1,40,11,23,1,1,13,15,0,6,6,11,4,0,2,4,36,33.4
58,27,17,27.04654346,CHI,0,1,9,1,37,14,26,2,4,5,6,2,6,8,6,4,0,2,5,35,29.4
59,27,19,27.05201916,CHI,1,0,-4,1,47,12,29,0,6,19,22,5,2,7,4,7,0,3,5,43,35.2
60,27,21,27.05749487,CHI,1,1,12,1,39,17,27,1,2,10,10,2,5,7,3,5,1,2,5,45,39.6
61,27,24,27.06570842,CHI,0,1,3,1,42,11,19,1,3,11,12,2,6,8,7,1,1,4,2,34,29.7
62,27,27,27.07392197,CHI,1,0,-25,1,41,8,17,3,5,1,3,0,8,8,7,1,0,3,3,20,14.6
63,27,28,27.07665982,CHI,1,1,5,1,39,13,21,3,6,3,4,2,6,8,10,2,1,2,2,32,32.2
64,27,31,27.08487337,CHI,1,1,25,1,39,8,19,1,2,4,4,3,5,8,5,2,2,3,2,21,17.6
65,27,32,27.08761123,CHI,0,1,10,1,38,10,20,0,2,7,9,2,2,4,6,5,0,1,2,27,25.6
66,27,34,27.09308693,CHI,1,1,7,1,40,18,32,0,3,5,6,2,4,6,5,5,1,3,1,41,33.8
67,27,35,27.09582478,CHI,1,0,-3,1,39,16,28,2,3,9,10,1,4,5,6,5,0,1,3,43,38.3
68,27,37,27.10130048,CHI,1,1,29,1,28,14,24,0,1,0,0,4,8,12,5,6,0,2,0,28,29.5
69,27,39,27.10677618,CHI,0,1,4,1,50,23,37,2,6,21,23,7,11,18,6,4,1,2,5,69,64.6
70,27,41,27.11225188,CHI,1,1,1,1,45,20,34,1,3,8,9,1,11,12,4,5,2,2,3,49,42.8
71,27,43,27.11772758,CHI,1,1,8,1,41,20,29,1,2,6,9,2,4,6,7,3,3,5,2,47,40.3
72,27,45,27.12320329,CHI,1,1,7,1,44,8,19,1,4,12,12,1,3,4,10,0,2,0,4,29,27.3
73,27,47,27.12867899,CHI,1,1,7,1,39,14,23,2,6,8,10,1,6,7,3,4,1,2,2,38,33.2
74,27,49,27.13415469,CHI,0,1,1,1,40,15,26,3,5,10,13,2,1,3,4,2,1,0,3,43,35.6
75,27,53,27.14510609,CHI,1,1,21,1,31,9,15,1,4,3,4,1,4,5,7,3,1,2,5,22,21.2
76,27,55,27.15058179,CHI,1,1,10,1,39,10,16,1,4,5,6,1,5,6,10,8,2,4,3,26,31.8
77,27,56,27.15331964,CHI,0,0,-10,1,37,10,21,1,2,0,1,1,2,3,5,1,0,2,4,21,12.1
78,27,58,27.15879535,CHI,0,0,-9,1,45,11,24,0,2,1,2,3,4,7,6,4,0,6,5,23,13.7
79,27,59,27.1615332,CHI,1,1,6,1,36,13,24,2,3,7,8,1,10,11,6,2,1,6,3,35,26.4
