G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
80,27,61,27.1670089,CHI,1,1,3,1,36,12,26,2,5,6,6,3,3,6,7,5,1,3,4,32,27.6
81,27,62,27.16974675,CHI,0,0,-4,1,35,21,29,0,2,3,3,1,7,8,9,3,0,3,5,45,40.2
82,27,64,27.17522245,CHI,0,0,-5,1,37,10,23,1,3,1,2,3,7,10,4,2,0,2,3,22,15.3
1,27,258,27.7063655,CHI,1,0,-8,1,34,14,24,1,3,5,5,3,2,5,7,7,0,5,4,34,30.8
2,27,259,27.70910335,CHI,0,0,-1,1,46,11,22,0,0,6,9,4,6,10,1,1,0,2,2,28,19.3
3,27,262,27.71731691,CHI,1,0,-2,1,45,14,28,0,1,5,6,3,5,8,12,3,0,2,4,33,30
4,27,263,27.72005476,CHI,0,1,5,1,39,7,14,0,0,3,5,2,3,5,6,0,1,1,5,17,13.4
5,27,265,27.72553046,CHI,0,1,20,1,34,17,25,0,1,7,8,1,4,5,6,2,0,3,3,41,33.8
6,27,266,27.72826831,CHI,1,1,19,1,36,8,15,0,0,7,8,1,5,6,8,3,0,3,1,23,22.7
7,27,269,27.73648186,CHI,0,1,2,1,38,10,22,1,1,8,10,3,8,11,5,1,2,1,1,29,25.8
8,27,271,27.74195756,CHI,0,0,-10,1,38,6,12,0,1,2,3,2,6,8,6,1,1,2,4,14,13.1
9,27,273,27.74743326,CHI,0,1,21,1,27,13,20,0,0,7,8,1,3,4,3,7,1,1,0,33,34.2
10,27,274,27.75017112,CHI,0,0,-13,1,41,12,25,0,2,5,6,0,5,5,7,1,1,2,4,29,20.4
11,27,277,27.75838467,CHI,0,0,-2,1,40,15,32,0,0,4,4,0,4,4,4,4,0,3,1,34,22.2
12,27,279,27.76386037,CHI,0,1,8,1,31,5,12,0,0,4,4,3,3,6,7,3,0,2,3,14,15.3
13,27,280,27.76659822,CHI,0,1,6,1,40,14,24,0,0,10,10,1,6,7,12,3,1,3,3,38,37.2
14,27,284,27.77754962,CHI,1,1,24,1,27,11,15,0,0,2,3,0,2,2,7,3,1,1,2,24,24.9
15,27,286,27.78302533,CHI,1,1,29,1,33,15,19,0,0,7,9,1,4,5,3,2,2,1,4,37,33.7
16,27,287,27.78576318,CHI,0,1,35,1,30,13,18,1,1,5,6,0,2,2,4,2,0,1,2,32,27.8
17,27,290,27.79397673,CHI,1,1,28,1,35,12,22,0,0,3,3,1,3,4,7,0,1,2,5,27,19.6
18,27,293,27.80219028,CHI,1,1,10,1,39,14,25,0,2,5,7,4,3,7,9,8,1,2,3,33,35.8
19,27,294,27.80492813,CHI,1,0,-8,1,40,16,28,0,2,3,4,0,6,6,3,2,2,5,3,35,22.5
20,27,297,27.81314168,CHI,0,0,-12,1,39,13,23,0,0,5,7,0,4,4,5,3,1,4,2,31,22.9
21,27,300,27.82135524,CHI,1,1,40,1,30,8,15,0,0,4,6,2,6,8,8,1,2,3,3,20,18.9
22,27,301,27.82409309,CHI,1,1,18,1,27,11,17,0,0,2,2,5,4,9,6,5,3,2,1,24,30.1
23,27,304,27.83230664,CHI,1,1,9,1,36,14,22,0,0,11,12,3,6,9,6,6,2,2,2,39,41.5
24,27,305,27.83504449,CHI,0,0,-21,1,37,13,22,0,1,7,7,3,2,5,6,1,0,1,2,33,28.9
25,27,307,27.84052019,CHI,1,1,11,1,44,14,30,0,2,5,6,8,7,15,9,2,1,1,3,33,31.7
26,27,308,27.84325804,CHI,1,1,10,1,34,10,20,0,0,9,12,2,5,7,5,0,2,2,4,29,22
27,27,311,27.85147159,CHI,1,1,12,1,43,14,23,1,1,8,10,3,5,8,3,3,2,3,5,37,30.8
28,27,313,27.8569473,CHI,1,1,15,1,34,17,25,1,2,7,7,1,13,14,7,3,1,1,3,42,42.3
29,27,315,27.862423,CHI,1,1,25,1,37,10,24,0,2,11,11,3,7,10,4,4,0,2,2,31,26.4
30,27,320,27.87611225,CHI,0,0,-22,1,33,13,22,0,0,6,7,0,3,3,7,3,1,4,2,32,26.1
31,27,322,27.88158795,CHI,1,1,16,1,37,12,26,0,0,6,7,1,2,3,4,4,3,3,4,30,21.8
32,27,325,27.88980151,CHI,1,1,9,1,32,18,28,1,1,4,5,2,4,6,4,2,2,1,1,41,35.6
33,27,326,27.89253936,CHI,0,1,8,1,41,16,27,0,1,8,11,0,4,4,9,0,1,1,3,40,32.3
34,27,328,27.89801506,CHI,1,1,3,1,42,12,23,0,1,7,7,0,6,6,6,2,1,5,4,31,21.8
35,27,329,27.90075291,CHI,0,1,11,1,38,11,21,0,0,11,13,3,0,3,3,2,0,5,4,33,21.5
36,27,331,27.90622861,CHI,1,1,13,1,45,13,27,1,3,7,7,1,9,10,9,3,2,2,5,34,30.4
37,27,333,27.91170431,CHI,0,1,11,1,38,11,27,0,0,7,8,0,4,4,4,3,1,2,5,29,17.8
38,27,335,27.91718001,CHI,0,0,-9,1,41,13,28,0,1,4,4,0,7,7,8,3,0,4,2,30,21.5
39,27,338,27.92539357,CHI,0,1,11,1,39,17,28,0,2,3,5,1,5,6,5,3,1,3,1,37,29.4
40,27,340,27.93086927,CHI,0,0,-4,1,41,9,23,1,1,16,19,4,2,6,5,4,0,2,4,35,28.6
41,27,342,27.93634497,CHI,1,1,21,1,28,10,14,3,3,3,4,0,3,3,2,6,0,3,2,26,24.3
42,27,348,27.95277207,CHI,0,0,-4,1,39,9,22,1,1,17,18,0,3,3,3,3,0,3,6,36,24.4
43,27,349,27.95550992,CHI,0,1,11,1,38,10,18,0,0,11,16,1,5,6,8,2,0,2,0,31,28.2
44,27,351,27.96098563,CHI,0,0,-13,1,40,10,22,0,0,3,3,1,6,7,9,6,1,2,1,23,24.7
45,27,352,27.96372348,CHI,0,1,11,1,33,7,14,0,0,10,11,1,1,2,5,2,0,3,4,24,18.5
46,27,355,27.97193703,CHI,0,1,2,1,41,10,21,0,2,10,12,1,8,9,3,0,2,2,1,30,22.7
47,27,360,27.98562628,CHI,1,1,9,1,37,12,22,1,2,7,9,0,4,4,7,2,2,3,2,32,26.3
48,27,362,27.99110198,CHI,0,1,10,1,36,13,20,1,2,2,2,0,2,2,3,2,3,0,2,29,26.2
49,27,364,27.99657769,CHI,1,1,12,1,39,11,26,1,1,3,4,2,9,11,7,3,0,7,0,26,16.8
50,28,1,28.00273785,CHI,0,1,15,1,38,11,24,0,1,10,11,1,5,6,5,5,2,3,3,32,27.1
51,28,2,28.0054757,CHI,1,1,5,1,38,15,27,0,1,10,10,3,9,12,4,1,0,2,4,40,32.1
52,28,5,28.01368925,CHI,1,1,47,1,28,11,17,1,1,11,11,1,2,3,4,6,0,0,2,34,35.8
53,28,6,28.0164271,CHI,1,1,21,1,35,12,22,1,3,4,5,0,3,3,3,3,2,0,2,29,24.6
54,28,9,28.02464066,CHI,1,1,30,1,35,17,29,1,1,4,8,2,6,8,4,5,3,0,1,39,36.6
55,28,12,28.03285421,CHI,1,1,23,1,35,11,20,1,1,6,6,1,10,11,8,2,0,5,2,29,24.9
56,28,13,28.03559206,CHI,0,0,-21,1,38,8,23,0,1,6,6,0,5,5,2,6,0,3,4,22,13.4
57,28,16,28.04380561,CHI,1,1,18,1,37,9,23,0,0,12,13,2,7,9,2,2,1,5,3,30,18.5
58,28,19,28.05201916,CHI,1,1,10,1,39,14,29,0,0,9,10,1,4,5,2,3,0,1,3,37,26
59,28,21,28.05749487,CHI,0,1,35,1,30,10,13,1,1,4,4,2,7,9,9,1,1,6,4,25,23.8
60,28,23,28.06297057,CHI,1,1,32,1,29,7,15,1,5,5,5,2,3,5,10,1,0,1,2,20,20.8
61,28,24,28.06570842,CHI,0,1,1,1,41,15,26,0,1,9,14,1,7,8,4,3,2,1,4,39,32.2
62,28,26,28.07118412,CHI,0,1,13,1,40,12,21,0,1,10,12,1,4,5,8,2,1,4,3,34,28.3
63,28,27,28.07392197,CHI,0,1,4,1,38,14,25,0,2,9,10,0,3,3,3,5,0,2,3,37,29.5
64,28,29,28.07939767,CHI,1,1,13,1,29,11,19,2,3,7,7,0,6,6,2,0,1,3,2,31,22.2
65,28,31,28.08487337,CHI,1,1,22,1,30,9,14,2,2,2,3,0,5,5,11,0,1,3,3,22,21.1
66,28,33,28.09034908,CHI,0,0,-5,1,40,8,23,0,2,4,5,1,4,5,5,2,1,4,5,20,8.8
67,28,34,28.09308693,CHI,1,1,14,1,40,15,25,0,1,9,9,0,2,2,5,3,2,2,4,39,32.4
68,28,36,28.09856263,CHI,1,0,-10,1,37,15,25,0,2,4,7,5,2,7,4,3,3,0,3,34,32.1
69,28,39,28.10677618,CHI,0,1,34,1,30,16,26,0,0,10,11,1,0,1,4,0,2,3,4,42,30.1
70,28,40,28.10951403,CHI,0,1,18,1,35,7,17,1,2,5,5,0,5,5,5,2,1,1,2,20,16.8
71,28,42,28.11498973,CHI,0,0,-3,1,51,12,36,0,3,13,13,3,4,7,9,2,0,4,3,37,23
72,28,44,28.12046543,CHI,1,1,4,1,41,17,26,0,0,10,12,0,4,4,6,5,2,4,2,44,38.8
73,28,46,28.12594114,CHI,0,1,10,1,35,15,30,0,1,4,5,2,6,8,4,3,0,2,1,34,25.2
74,28,47,28.12867899,CHI,1,0,-3,1,36,13,26,1,4,12,14,0,5,5,9,5,2,5,4,39,32.8
75,28,49,28.13415469,CHI,1,0,-3,1,48,16,27,0,0,9,14,1,3,4,5,4,2,0,2,41,36.2
76,28,51,28.13963039,CHI,1,1,2,1,37,10,18,1,3,7,8,0,6,6,8,1,0,0,0,28,27.4
77,28,52,28.14236824,CHI,0,1,5,1,41,12,21,0,0,4,6,0,5,5,4,0,1,2,3,28,19.1
78,28,54,28.14784394,CHI,0,0,-4,1,43,13,24,1,2,13,15,3,5,8,4,0,1,3,5,40,29.7
79,28,57,28.15605749,CHI,1,1,9,1,39,17,27,0,1,12,14,0,5,5,2,3,2,5,3,46,34.2
80,28,59,28.1615332,CHI,0,1,10,1,40,9,20,0,2,8,9,2,3,5,5,3,0,2,2,26,21.2
81,28,61,28.1670089,CHI,0,1,16,1,39,15,22,0,1,11,13,3,2,5,5,4,2,4,5,41,36.4
82,28,63,28.1724846,CHI,1,1,8,1,30,6,15,0,2,6,6,2,1,3,1,2,0,2,2,18,11.5
1,28,257,28.70362765,CHI,1,1,20,1,30,11,18,0,3,4,6,1,4,5,4,3,1,2,2,26,22.6
2,28,258,28.7063655,CHI,0,0,-2,1,42,19,29,1,2,7,7,0,3,3,3,5,1,4,1,46,37.6
3,28,261,28.71457906,CHI,1,0,-8,1,46,17,22,1,2,5,8,2,5,7,4,1,1,5,5,40,30.6
4,28,262,28.71731691,CHI,0,1,19,1,38,16,26,3,4,9,9,0,3,3,6,1,1,2,2,44,36.2
5,28,264,28.72279261,CHI,1,1,16,1,36,10,15,0,0,6,8,1,6,7,5,4,0,0,1,26,28.3
6,28,265,28.72553046,CHI,1,1,31,1,35,13,26,0,3,1,1,2,3,5,9,3,1,1,2,27,24.5
7,28,268,28.73374401,CHI,1,1,17,1,29,8,14,0,1,4,5,0,3,3,4,3,0,0,4,20,18.1
8,28,269,28.73648186,CHI,0,1,22,1,33,11,19,1,3,12,12,1,5,6,5,3,3,2,1,35,34.5
9,28,271,28.74195756,CHI,1,1,13,1,37,5,10,0,0,7,8,2,5,7,11,1,0,3,2,17,19.4
10,28,276,28.75564682,CHI,0,1,4,1,45,12,25,0,0,11,13,1,8,9,7,3,1,3,3,35,29
11,28,278,28.76112252,CHI,0,1,3,1,45,11,26,0,1,9,10,1,5,6,4,2,0,1,6,31,20.4
12,28,279,28.76386037,CHI,0,1,7,1,41,15,28,0,1,7,7,0,6,6,3,0,1,2,5,37,24
13,28,282,28.77207392,CHI,0,1,37,1,33,11,19,0,2,1,2,1,9,10,5,1,0,6,3,23,14.4
14,28,285,28.78028747,CHI,0,1,2,1,51,16,39,0,1,8,10,3,5,8,7,3,1,3,4,40,25.9
15,28,286,28.78302533,CHI,0,1,16,1,39,13,21,0,2,4,9,0,6,6,8,0,1,2,4,30,23
16,28,290,28.79397673,CHI,1,1,6,1,41,7,20,0,1,2,2,1,8,9,9,3,0,7,4,16,8.6
17,28,292,28.79945243,CHI,1,1,18,1,34,8,19,1,2,2,4,1,10,11,10,1,0,1,3,19,17.6
18,28,293,28.80219028,CHI,0,0,-3,1,41,12,25,0,1,8,10,3,11,14,9,3,1,4,2,32,29.1
19,28,296,28.81040383,CHI,1,1,5,1,39,7,20,0,1,5,8,3,8,11,1,0,1,1,3,19,10.3
20,28,299,28.81861739,CHI,1,1,10,1,43,9,18,0,2,9,12,1,7,8,6,4,0,3,2,27,24
21,28,300,28.82135524,CHI,0,1,13,1,33,12,19,0,1,5,8,3,6,9,1,2,3,1,3,29,25.8
22,28,303,28.82956879,CHI,1,0,-13,1,38,6,20,0,3,9,10,0,4,4,7,3,3,0,3,21,19
23,28,306,28.83778234,CHI,0,1,17,1,30,8,18,0,0,8,8,1,4,5,4,1,2,0,0,24,21.7
24,28,307,28.84052019,CHI,1,1,14,1,43,16,24,2,2,3,3,1,8,9,10,4,1,3,2,37,37.6
25,28,311,28.85147159,CHI,1,1,22,1,35,6,14,0,1,2,2,1,7,8,5,2,3,2,2,14,14.2
26,28,312,28.85420945,CHI,0,1,11,1,44,15,31,1,2,3,4,1,2,3,6,2,3,4,1,34,23.1
27,28,314,28.85968515,CHI,1,1,9,1,36,11,20,0,1,11,12,0,2,2,8,3,3,6,5,33,26.3
28,28,316,28.86516085,CHI,0,1,5,1,44,10,19,0,1,9,11,2,4,6,7,3,2,4,4,29,25.2
29,28,320,28.87611225,CHI,0,0,-5,1,40,19,29,0,2,6,8,2,4,6,7,1,0,1,4,44,36.4
30,28,321,28.8788501,CHI,1,1,44,1,32,12,20,0,0,3,4,2,3,5,1,1,2,0,1,27,22.4
31,28,324,28.88706366,CHI,1,1,13,1,37,7,15,1,1,6,6,0,5,5,9,4,1,3,3,21,21.6
32,28,325,28.88980151,CHI,0,1,2,1,47,17,27,0,0,6,9,0,6,6,8,1,2,4,3,40,31.3
33,28,327,28.89527721,CHI,1,1,15,1,37,15,25,1,2,6,6,1,4,5,4,1,1,2,3,37,28.7
34,28,328,28.89801506,CHI,1,1,9,1,39,10,19,0,0,10,10,0,6,6,7,1,1,1,4,30,26.5
35,28,331,28.90622861,CHI,1,1,23,1,33,11,20,0,1,4,4,0,5,5,4,5,2,2,0,26,25.1
36,28,333,28.91170431,CHI,0,1,15,1,39,15,26,0,2,5,6,0,4,4,8,2,1,2,4,35,28.3
37,28,334,28.91444216,CHI,1,1,6,1,38,10,23,1,1,10,10,0,4,4,8,1,0,1,3,31,24.5
38,28,336,28.91991786,CHI,0,1,2,1,45,12,27,0,2,10,14,0,6,6,6,2,0,3,3,34,22.1
39,28,338,28.92539357,CHI,1,1,6,1,41,13,23,0,0,4,5,2,3,5,7,5,1,4,3,30,26.4
40,28,339,28.92813142,CHI,0,1,3,1,43,7,18,1,2,8,8,2,4,6,4,2,2,5,2,23,16.2
41,28,341,28.93360712,CHI,1,1,24,1,30,9,14,0,0,2,2,1,1,2,5,0,2,2,0,20,17.7
42,28,342,28.93634497,CHI,1,1,14,1,41,12,27,3,3,8,10,0,3,3,5,4,1,4,2,35,24.4
43,28,345,28.94455852,CHI,0,0,-5,1,44,15,31,0,1,9,11,0,9,9,7,4,0,3,3,39,29.9
44,28,347,28.95003422,CHI,0,0,-3,1,43,9,26,0,1,4,4,2,3,5,5,3,0,1,3,22,14
45,28,348,28.95277207,CHI,0,1,15,1,37,10,17,0,1,5,6,2,8,10,9,1,0,1,3,25,25.6
46,28,350,28.95824778,CHI,0,1,6,1,44,13,27,1,1,6,8,0,8,8,11,2,0,5,4,33,24
47,28,351,28.96098563,CHI,0,0,-3,1,56,13,34,1,1,7,9,2,11,13,8,2,1,2,5,34,23.6
48,28,359,28.98288843,CHI,1,1,20,1,34,13,23,0,0,8,9,1,5,6,7,4,2,3,2,34,31.4
49,28,361,28.98836413,CHI,0,1,21,1,35,4,15,0,0,9,11,0,2,2,5,1,0,1,1,17,11
50,28,363,28.99383984,CHI,1,1,1,1,42,9,24,0,0,11,12,1,4,5,2,2,2,3,3,29,17.9
51,29,0,29,CHI,1,0,-1,1,43,21,32,0,1,4,5,1,3,4,6,0,0,3,1,46,34
52,29,2,29.0054757,CHI,0,1,13,1,38,11,23,0,1,5,7,5,5,10,8,2,0,3,1,27,23.7
53,29,4,29.0109514,CHI,0,1,15,1,46,14,23,0,0,5,6,1,9,10,14,4,0,4,2,33,34.5
54,29,5,29.01368925,CHI,1,1,15,1,35,13,27,0,3,4,6,2,4,6,8,1,2,1,2,30,24.3
55,29,8,29.02190281,CHI,0,0,-2,1,42,11,22,0,0,1,3,1,3,4,6,4,1,1,2,23,19.9
56,29,9,29.02464066,CHI,1,1,19,1,27,10,17,1,3,5,6,2,2,4,1,2,0,0,0,26,22.4
57,29,11,29.03011636,CHI,0,1,4,1,41,8,18,0,0,8,10,1,5,6,6,2,2,2,2,24,20.8
58,29,13,29.03559206,CHI,1,1,20,1,36,10,23,0,2,11,12,0,9,9,7,3,0,5,3,31,22.9
59,29,15,29.04106776,CHI,1,0,-2,1,39,12,21,0,0,3,5,2,5,7,5,0,1,2,3,27,20.2
60,29,17,29.04654346,CHI,0,1,13,1,39,14,26,0,0,5,5,1,4,5,5,1,1,1,3,33,25.3
61,29,18,29.04928131,CHI,1,1,42,1,28,12,20,0,1,3,3,0,6,6,2,2,1,2,2,27,20.9
62,29,20,29.05475702,CHI,0,1,4,1,43,12,26,0,1,10,13,3,8,11,8,1,0,1,3,34,28.3
63,29,23,29.06297057,CHI,1,1,34,1,35,14,23,0,0,4,4,0,13,13,3,0,2,4,2,32,24.1
64,29,26,29.07118412,CHI,0,1,16,1,38,11,22,0,1,4,4,1,9,10,9,5,0,3,1,26,26.3
65,29,28,29.07665982,CHI,0,1,16,1,39,15,27,0,2,7,7,2,7,9,13,0,1,3,1,37,34
66,29,29,29.07939767,CHI,0,1,11,1,45,16,32,0,0,8,12,4,6,10,4,2,2,1,3,40,31
67,29,31,29.08487337,CHI,0,1,6,1,43,19,30,1,1,12,15,2,9,11,3,1,1,0,3,51,43.1
68,29,33,29.09034908,CHI,1,0,-3,1,38,10,22,0,0,5,7,6,9,15,4,2,1,3,1,25,21.8
69,29,36,29.09856263,CHI,1,1,13,1,41,18,31,2,3,12,13,0,6,6,6,3,0,3,0,50,41.1
70,29,40,29.10951403,CHI,1,1,24,1,37,21,32,0,1,2,2,0,4,4,6,3,0,1,2,44,36.6
71,29,43,29.11772758,CHI,0,1,6,1,40,13,23,0,1,10,12,3,1,4,3,3,1,3,1,36,29.1
72,29,44,29.12046543,CHI,1,1,6,1,39,11,22,1,3,8,10,1,1,2,5,3,0,2,2,31,23.9
73,29,46,29.12594114,CHI,1,1,11,1,42,5,17,0,2,5,6,0,6,6,7,2,0,5,4,15,6.8
74,29,48,29.13141684,CHI,0,0,-11,1,40,12,28,0,3,2,2,0,2,2,2,3,0,3,4,26,11.6
75,29,50,29.13689254,CHI,1,1,15,1,37,12,22,2,5,4,4,0,5,5,7,6,1,3,3,30,28.3
76,29,53,29.14510609,CHI,0,1,12,1,42,16,30,1,1,2,4,0,4,4,6,4,0,1,3,35,26.8
77,29,54,29.14784394,CHI,1,1,2,1,37,8,20,0,0,7,7,1,4,5,8,5,1,1,2,23,23.6
78,29,56,29.15331964,CHI,1,1,7,1,23,6,12,0,1,0,0,0,1,1,7,3,1,2,1,12,12.5
79,29,60,29.16427105,CHI,0,1,26,1,32,9,16,0,0,3,4,1,3,4,8,0,0,5,4,21,13.6
80,29,62,29.16974675,CHI,1,1,18,1,39,9,17,0,0,14,15,0,2,2,7,2,1,7,2,32,23.7
1,29,263,29.72005476,CHI,0,1,5,1,37,12,26,0,2,5,6,3,3,6,2,3,3,2,1,29,22.3
2,29,264,29.72279261,CHI,1,0,-1,1,39,13,29,1,4,8,9,0,4,4,11,4,0,6,4,35,24.8
3,29,266,29.72826831,CHI,1,1,5,1,42,10,20,0,1,4,5,0,2,2,12,2,0,4,1,24,20.2
4,29,268,29.73374401,CHI,1,1,2,1,52,13,24,3,3,8,10,2,8,10,4,0,1,5,1,37,26.5
5,29,270,29.73921971,CHI,0,1,5,1,42,14,31,0,2,6,8,3,3,6,4,3,2,5,2,34,21.5
6,29,271,29.74195756,CHI,1,1,33,1,22,7,13,2,5,2,2,0,4,4,7,3,1,2,1,18,19.1
7,29,274,29.75017112,CHI,0,1,21,1,31,14,21,2,2,2,3,1,2,3,5,4,1,3,1,32,28.6
8,29,276,29.75564682,CHI,0,1,9,1,34,14,22,2,4,5,5,1,5,6,2,2,0,2,1,35,28.4
9,29,277,29.75838467,CHI,0,0,-2,1,47,21,39,1,2,11,14,5,8,13,7,1,3,5,4,54,41.2
10,29,279,29.76386037,CHI,0,1,17,1,39,16,27,0,2,8,8,0,3,3,7,3,4,1,1,40,37.7
11,29,281,29.76933607,CHI,0,1,9,1,44,18,30,1,3,12,14,2,3,5,7,1,1,3,2,49,39.5
12,29,285,29.78028747,CHI,0,0,-37,1,38,4,20,0,1,9,9,3,3,6,4,1,0,0,2,17,10.6
13,29,291,29.79671458,CHI,1,1,12,1,38,15,25,1,1,7,9,4,9,13,2,1,0,1,1,38,32.2
14,29,292,29.79945243,CHI,1,1,7,1,37,8,20,0,1,8,9,0,3,3,5,2,0,2,2,24,16.4
15,29,295,29.80766598,CHI,0,0,-9,1,46,14,28,2,4,2,2,3,9,12,8,1,0,2,5,32,25.4
16,29,296,29.81040383,CHI,1,1,17,1,35,10,22,1,3,7,7,2,9,11,10,4,2,3,2,28,29.3
17,29,298,29.81587953,CHI,1,0,-14,1,40,11,23,1,3,3,3,4,7,11,4,0,1,4,4,26,17.1
18,29,299,29.81861739,CHI,1,1,6,1,41,13,26,3,6,9,12,0,6,6,3,1,1,2,2,38,26.6
19,29,302,29.82683094,CHI,1,1,15,1,33,11,21,3,3,0,0,1,3,4,6,3,2,5,1,25,19.5
20,29,304,29.83230664,CHI,0,1,8,1,40,12,29,0,1,4,4,1,6,7,8,4,2,1,3,28,23.8
21,29,306,29.83778234,CHI,1,0,-2,1,42,11,26,1,4,0,0,4,6,10,10,4,1,1,4,23,22.9
22,29,308,29.84325804,CHI,1,1,4,1,43,6,19,1,3,5,6,3,5,8,3,5,2,2,2,18,16
23,29,310,29.84873374,CHI,1,1,9,1,42,22,37,6,8,7,8,0,2,2,10,3,1,1,3,57,48.6
24,29,312,29.85420945,CHI,1,1,12,1,41,15,34,0,4,12,16,0,8,8,5,3,1,4,2,42,27.4
25,29,313,29.8569473,CHI,0,1,11,1,40,8,22,1,3,0,0,3,6,9,8,1,0,2,5,17,11.3
26,29,316,29.86516085,CHI,0,1,11,1,42,9,25,1,3,9,10,4,8,12,11,0,1,3,1,28,23.9
27,29,317,29.8678987,CHI,0,1,5,1,40,9,18,0,1,21,24,1,5,6,8,3,2,1,2,39,39.2
28,29,320,29.87611225,CHI,1,1,9,1,40,14,27,2,4,9,11,3,5,8,5,1,0,2,3,39,29.8
29,29,323,29.8843258,CHI,1,0,-3,1,41,15,31,1,6,5,6,0,4,4,5,2,1,1,4,36,24.7
30,29,324,29.88706366,CHI,0,0,-22,1,34,10,22,0,1,3,5,2,6,8,3,1,0,2,1,23,14.7
31,29,326,29.89253936,CHI,1,1,25,1,35,15,26,2,5,3,3,3,5,8,7,4,0,2,2,35,32.5
32,29,327,29.89527721,CHI,0,0,-13,1,44,13,36,0,4,4,4,2,9,11,6,2,0,3,5,30,15.3
33,29,330,29.90349076,CHI,0,1,16,1,37,9,22,0,1,5,6,2,6,8,4,3,3,3,0,23,18.9
34,29,333,29.91170431,CHI,1,1,21,1,38,10,19,1,2,5,5,2,10,12,10,5,2,2,1,26,32.1
35,29,334,29.91444216,CHI,1,0,-4,1,47,27,49,1,5,9,11,4,2,6,1,5,0,2,5,64,44.8
36,29,336,29.91991786,CHI,1,1,10,1,30,10,22,0,1,9,10,4,4,8,3,4,1,2,1,29,25.6
37,29,339,29.92813142,CHI,0,1,13,1,39,12,24,2,4,4,4,1,2,3,4,4,0,3,2,30,22.3
38,29,340,29.93086927,CHI,1,0,-8,1,43,10,26,0,2,8,11,2,4,6,2,3,1,1,4,28,17.7
39,29,342,29.93634497,CHI,0,0,-4,1,44,16,35,0,2,10,11,5,6,11,3,4,2,4,3,42,31.1
40,29,344,29.94182067,CHI,0,1,35,1,27,7,15,1,4,0,0,2,8,10,4,3,0,3,3,15,12.7
41,29,346,29.94729637,CHI,0,0,-11,1,39,12,27,1,1,1,2,0,6,6,4,5,0,3,2,26,17.3
42,29,348,29.95277207,CHI,0,0,-7,1,41,14,31,0,2,11,15,3,4,7,5,4,1,3,2,39,29
43,29,350,29.95824778,CHI,0,1,4,1,43,13,28,1,3,10,14,3,4,7,2,1,1,4,0,37,23.4
44,29,352,29.96372348,CHI,0,1,19,1,39,14,26,2,2,6,7,0,3,3,2,2,2,3,5,36,23.7
45,29,353,29.96646133,CHI,0,1,2,1,47,13,34,0,3,7,7,2,4,6,4,2,1,3,5,33,17.5
46,29,356,29.97467488,CHI,0,1,10,1,43,13,28,4,7,4,6,3,8,11,5,2,2,1,1,34,28.8
47,29,359,29.98288843,CHI,0,1,11,1,42,16,27,1,3,7,9,1,8,9,8,6,0,3,2,40,37.6
48,29,362,29.99110198,CHI,1,0,-5,1,43,12,22,0,3,1,2,1,5,6,5,3,1,3,2,25,19.6
49,29,364,29.99657769,CHI,1,1,18,1,37,12,21,0,2,8,10,3,5,8,6,3,1,3,3,32,28.6
